,features,importance
4,sec_avg_ret_5y,0.2534792749948244
5,sec_avg_5y_drawdown,0.2166084481731434
12,ret_5y,0.11752246938561471
3,excess_ret_5y,0.08590606840176182
1,5y_drawdown,0.07524829470728901
11,ret_3y,0.06429885206878302
0,monotonic_score_daily,0.049300303708190975
2,excess_ret_1y,0.04660287646278905
10,ret_1y,0.044405424860956035
9,ret_6m,0.025556539011412475
8,ret_1m,0.01511768058457541
7,ret_1w,0.0032048258722278586
6,ret_1d,0.002748941768431707
